pid,dt,url,title,price,neighb,sqft,lat,lng,accuracy,body_text,laundry_known,laundry_onpremises,laundry_inunit,room_known,private_room,bath_known,private_bath,parking_known,onsite_parking
5997357130,2017-03-04 18:49,http://sfbay.craigslist.org/sfc/roo/5997357130.html,Private bedroom in San Francisco - 94110,2000,mission district,0,37.753503,-122.424136,20,,FALSE,FALSE,False,True,TRUE,True,FALSE,FALSE,FALSE
6030022033,2017-03-04 18:48,http://sfbay.craigslist.org/sby/roo/6030022033.html,Bright and Spacious Bedroom Available for Rent,850,,0,37.270979,-121.838894,7,"I have a  bedroom available for rent. It is located in Blossom Valley, in a 3 bed, 2.5 bath home. The room is unfurnished so you can furnish and decorate it as you like. The ideal candidate is a full-time student or a working professional who is in their mid to late 20's and is exceptionally clean, organized, out-going, and down to earth. 

The common areas and amenities include:

- Fully stocked kitchen

- Living room

- Dining room

- Washer/Dryer

- Close parking

- Swimming pool/hot tub


About me:
I am in my late 20's and currently working in the tech industry. I enjoy playing sports, especially basketball, dodgeball, and tennis and catching the latest movies. I'm a huge foodie, always looking forward to trying the latest restaurants.",FALSE,FALSE,False,True,TRUE,True,TRUE,FALSE,FALSE
6002912857,2017-03-04 18:46,http://sfbay.craigslist.org/pen/roo/6002912857.html,Awesome Private Room and Bath in a Great Location - 94401,1495,san mateo,0,37.568435,-122.311580,20,,FALSE,FALSE,False,True,TRUE,True,FALSE,FALSE,FALSE
6013854107,2017-03-04 18:46,http://sfbay.craigslist.org/sfc/roo/6013854107.html,Looking to add few more roommates to the house,1300,SOMA / south beach,0,37.772500,-122.414700,22,"More than the accommodations and the location (which is AMAZING) the people who live at the house are top-notch. 

Everyone in the house is extremely passionate and devoted to what they do and this is what sets our house apart from any other living situation.

You could pay to crash in a room all by yourself/with a close buddy, or you could stay and effortlessly make friends that will last.

roommates will probably try to recruit you to work at startups and such so if that's your thing (it's not mine haha) living here could also be a great networking opportunity.

With respect to the logistics of accommodations things got a lot better. There is a ""house CEO"" to make sure absolutely everything is working and running smoothly. You likely to find comfort in knowing that if there is anything that needed to be addressed, there was someone whose job is to make sure this happens asap. This also epitomizes the entire culture of the house.

Please apply at the link if you're interested:
thenegev.com/apa/44/negev6",TRUE,FALSE,True,True,TRUE,True,FALSE,TRUE,FALSE
5998847450,2017-03-04 18:46,http://sfbay.craigslist.org/eby/roo/5998847450.html,Privacy- Guaranteed Apt to Share in Union City,1000,fremont / union city / newark,913,37.585434,-122.022172,20,,FALSE,FALSE,False,True,TRUE,True,FALSE,FALSE,FALSE
6005685156,2017-03-04 18:46,http://sfbay.craigslist.org/sfc/roo/6005685156.html,Living Room Share in Parkmerced!!,675,ingleside / SFSU / CCSF,0,37.721100,-122.475400,22,"Hey all,

We have a space available in our 2 bed 2 bath apartment in Parkmerced. It is a LIVING room share. This is a co-ed apartment with some chillaxed roomies who go to SFSU/CCSF. Parkmerced is located right next to SFSU and our building is about 10 mins walking distance to campus (SFSU) and ten minutes bus ride from there to CCSF. Building is located right next to Muni lines 57,28 and 5 minutes walking distance to M line and 29, bart is 5 mins from the building. There is a small strip with bunch of  food joints and a supermarket, sports bar, laundry mat and a wells fargo ATM.

We are all chill and easy to get along people and so we are looking for a similar match, looking for someone who keeps it clean and tidy after themselves, we call cleaners every month to clean the place so our apartment is pretty clean all the time not like other shared places.

Rent is $675 including all the utilities.
Building Amenities: Gym and laundry in the building. Yes the gym is free!! 

If you go to SFSU and you are a nice (chill) person with no drama then this is a perfect place for you!

Send me an e-mail if you have any questions.
Have a Nice Day :)",TRUE,TRUE,False,True,FALSE,True,FALSE,TRUE,TRUE
5996511332,2017-03-04 18:45,http://sfbay.craigslist.org/eby/roo/5996511332.html,Private bedroom in Brentwood - 94513,900,brentwood / oakley,0,37.932400,-121.689400,22,,FALSE,FALSE,False,True,TRUE,True,TRUE,FALSE,FALSE
6030030101,2017-03-04 18:45,http://sfbay.craigslist.org/eby/roo/6030030101.html,a nice living room near CSUEB,,hayward / castro valley,0,37.658600,-122.047200,22,"A nice living room in CityView, near Cal State East Bay. Walking distance to the campus like five minutes. Girls only.",FALSE,FALSE,False,True,FALSE,True,FALSE,FALSE,FALSE
5996511034,2017-03-04 18:45,http://sfbay.craigslist.org/eby/roo/5996511034.html,Private room with wifi/utilities separate entrance - 94804,1000,richmond / point / annex,0,37.926500,-122.334200,22,,FALSE,FALSE,False,True,TRUE,True,FALSE,FALSE,FALSE
6030029863,2017-03-04 18:45,http://sfbay.craigslist.org/sby/roo/6030029863.html,Looking for roommate(s),,,0,,,,"Hello!

My girlfriend and I are are looking for roommates for these locations:
https://sfbay.craigslist.org/sby/apa/
 
html
https://sfbay.craigslist.org/sby/apa/
 
html
or my personal favorite
https://sfbay.craigslist.org/sby/apa/
 
html

We'd also be interested in seeing any places you might be interested in. Our budget is $1100 a month. We've got two therapy cats (they are not legally pets, though obviously if you've got allergies, it probably won't work out). My girlfriend and I are both nerds, with her being a book/tv/writer nerd and me being a gaming nerd (mostly video but also board). Couples are alright, other pets are alright, guests are alright, parties are probably okay (depends on the other roomies if any. I'm partial to quieter dinner party type things).",FALSE,FALSE,False,True,TRUE,True,FALSE,FALSE,FALSE
6030029031,2017-03-04 18:44,http://sfbay.craigslist.org/sfc/roo/6030029031.html,1 large BR available for 1-2 ppl in lovely 3BR near tech shuttles,1900,noe valley,150,37.742791,-122.428355,0,"Hello!

My roommate and I are looking for either one roommate or a couple/duo to move into one large bedroom of our lovely 3BR/1BA in Noe Valley starting April 1.

The room has big south-facing windows (with some classy stained glass borders!), a walk-in closet, hardwood floors, and high ceilings.

The whole house is fully furnished; you'd just need things for your room.

The room would be $1900 for a single person, or $2300 for a couple (determined based on Splitwise calculations). 

It's a beautiful place with great amenities:
-in-unit washer/dryer
-dishwasher
-awesome back yard
-great kitchen with granite countertops
-two amazing cats named Antony & Cleocatra

Very close to tech shuttle stops.

I'm a 25 year old gay male; work in the South Bay. My roommate is a 26 year old woman who works in SF. We're both awesome, and humble.

You: voted ""Yes"" on Prop 64, don't do a whole lot of partying, like your house generally clean. 

Let me know if you're interested. Happy to provide more information.",TRUE,FALSE,True,True,TRUE,True,FALSE,TRUE,FALSE
6016634672,2017-03-04 18:43,http://sfbay.craigslist.org/sfc/roo/6016634672.html,2-3 months sublet/sublease beautiful flat in lower pacific heights,1400,lower pac hts,0,,,,"My roommates (2) and I are looking for someone to sublease a room in our four bedroom/two bath lower pacific heights apartment for the months of April and May. Some of March, too, if needed. The apartment is a beautiful flat and the room is spacious with a large closet. We are ages 28, 29, and 30. We are all very clean, organized and have busy social lives. The room is $1400 and utilities are around $100, which includes cable, internet, PGE, and a monthly cleaner. We have two living rooms and a large kitchen.

Let me know if you're interested in the sublease! 

- Liza",TRUE,TRUE,False,True,TRUE,True,TRUE,TRUE,FALSE
6030027847,2017-03-04 18:42,http://sfbay.craigslist.org/eby/roo/6030027847.html,Huge Furnished Master Bedroom in Upscale Neighborhood,945,fremont / union city / newark,200,37.608733,-122.023572,20,"We would like to share one of our bedrooms with a clean, responsible, easy-going, professional, single person. We do not rent to couples. And we prefer light-cooking. Our 14 years old house has 5 bedrooms and 3.5 bathrooms in a very quiet, safe, and upscale neighborhood. This room is huge with 2 big windows and is furnished with a queen bed (with comforters & pillows), large office desk w/chair, long dresser, night stand, lamps, etc. Better yet, the adjacent full bathroom is designated for your use only.  

This room is for a single person and no pets please!

I work for a biotech company and my wife is a piano teacher. We are neat, organized, and friendly. Our home is conveniently located just south of Decoto Road off Mission Blvd. near BART and other shopping areas. It is impeccably maintained in a cul-de-sac with ample parking. It has one neighbor on the side and faces southwest. The common areas are for you to use anytime where you can feel free to cook, do laundry, and watch television.  

Here are the details about the house:

LARGE-SIZED BEDROOM:
â¢	14' x 14' (200 sqft) with plenty of closet space 
â¢	2 large windows with good sunlight
â¢	Adjacent full-bathroom w/marble tiles is all yours only

COMMON AREAS:
â¢	Living/family/dining/kitchen are fully furnished
â¢	Large-screen HD TV and work-out equipments in family room
â¢	Gourmet chef's kitchen w/granite counter top
â¢	Convenient 2nd floor laundry room with new washer and dryer
â¢	Ample parking space in and around the cal-de-sac

OTHER AMMENITUES:
â¢	3 or 4 community parks within the walking distance
â¢	Quiet, safe, clean, and beautiful neighborhood w/view of the East Bay hills, perfect for walking/jogging
â¢	PG&E, TV cable, wireless internet , and other utilities, are included
â¢	Central A/C and heater

NEIGHBORHOOD:
â¢	2 miles from the Union City BART station
â¢	2 Â½ miles to Safeway, Marina, Starbucks, and other shops/restaurants
â¢	Close to freeways (880/680) and the border between Union City and Fremont (fremont).

The room is available immediately. One month deposit is required. Please call Albert or leave a message at 
 
(home) or 
 
(cell), or email me, for more info or to set up an appointment to see the room. Thank you!",TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,FALSE
6022284610,2017-03-04 18:41,http://sfbay.craigslist.org/sby/roo/6022284610.html,Commuter roommates,1000,santa clara,0,,,,"****I am only looking for people who stay from Monday to Friday.****

This is a private room with private detached bathroom. The room comes fully furnished with bed, mattress, table, chair etc. Utilities will be $70 per month. Prefer long term. Washer/ Dryer in unit. Off street parking. kitchen access.
Parking right in front of the house in the cul de sac.",TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,FALSE
6030011813,2017-03-04 18:40,http://sfbay.craigslist.org/eby/roo/6030011813.html,Awesome Large Room For Rent With Pool,775,brentwood / oakley,0,,,,"Awesome large room for rent in Oakley.
$775. monthly rent.including utilities
$500. deposit
Male preferred
Single occupancy only
No overnight guests
Beautiful view of pool/waterfall from your bedroom!
Relaxed place to live
Great neighborhood, quiet court
Wifi
No pets ( I have 2 cats)
No drugs
Smoking outside only
Less than a mile from Hwy 4 and all shopping
Clean and respectful
Semi furnished 
Proof of employment and income
Month to month tenancy.
Available August 1",TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6022285038,2017-03-04 18:40,http://sfbay.craigslist.org/sby/roo/6022285038.html,Shared bed room in townhome,870,santa clara,0,,,,"Furnished room with twin bed and mattress available for share in Santa Clara. You will be sharing the bed room with another person. There is a bathroom is shared reserved for this room. 
Washer/ Dryer are available in the house. No cooking. Street parking.
Deposit $800",TRUE,FALSE,True,True,FALSE,True,FALSE,TRUE,FALSE
6030025584,2017-03-04 18:39,http://sfbay.craigslist.org/sby/roo/6030025584.html,1bd/1ba in 2bd/2ba townhouse,1350,sunnyvale,0,37.374011,-122.029985,7,"Hello,

I am searching for a roommate to share a 2bed/2bath spacious townhouse with me in Sunnyvale after my roommate moves out. The room is available around last week of March.

2 bd / 2 bath townhouse
Size of the room is about 11x13
There's a backyard where you can relax.
Garage
Very close to downtown Sunnyvale and Caltrain
Attached bathroom in each room.
Laundry in house
Quiet neighborhood
Landlord doesn't allow pets.

Rent for the room is $1350/month. Utilities (everything including Internet) is $100-$150/month per person.

I'm in my 20s, male. I work as a software developer. I'm pretty work oriented, trying to focus on my career most of my time. I like to read and watch different movies in my free time. I'm a clean, courteous and quiet person, and expect my roommate to be the same. I don't do drugs or smoke. I like to cook and always clean up after myself. The kitchen is nice! I'm pretty easy-going and open to live with any gender.

I'm looking for another professional roommate who can commit to a long term lease.

You can also buy the king size mattress and the bed frame shown in the pictures. $300 / OBO (optional)

Please email to schedule an appointment, and include some information about yourself. We can also exchange our LinkedIn accounts. I am available on most weeknights and on the weekend.",TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,TRUE
6030003406,2017-03-04 18:39,http://sfbay.craigslist.org/sby/roo/6030003406.html,Clean Quiet Bedroom with Private Bathroom for female commuter.,,santa clara,0,,,,"Please read the entire post before responding. Thx

I have a nicely furnished Bedroom with a private bathroom
available for a FEMALE COMMUTER or similar situation.

Bedroom has a very comfortable full size bed, the carpet and mattress have been professionally cleaned.
The private bathroom has a shower and bathtub and is sparkling clean.

I'm a friendly, positive, busy, professional female, respectful or your space and privacy.

Full kitchen and family room privileges of course, it's important that you feel ""at home"" and comfortable.

Safe nieghborhood
Starbucks and shopping a few blocks away.

This rental is for a female commuter, traveling nurse or similar.

Â°Â°Â°Commuter room defined....a rental during the work week to avoid long daily commutes home.
One who stays at their home on weekends or days off.

645.00

Email me for pictures please

Rent may be flexible depending upon your schedule.
Please email me with any questions.

***PLEASE INCLUDE YOUR WORK SCHEDULE and length of time your planning to rent.

Thank You
Have a great day!

Close to
Sunnyvale, Cupertino, San Jose, Mountain View, Fremont, Palo Alto
280, 101
SJ Airport",FALSE,FALSE,False,True,TRUE,True,TRUE,FALSE,FALSE
6030025363,2017-03-04 18:39,http://sfbay.craigslist.org/eby/roo/6030025363.html,Commuter ONLY (Mon-Fri) MasterBed with attached private Bathroom,895,dublin / pleasanton / livermore,400,37.707319,-121.861210,7,"About the Sublet:
---------------------
*This is a COMMUTER ONLY rental (typically Monday - Friday) 
*Renting out the master bedroom (400 sq ft) in a spacious luxury 2 bed 2 bath townhouse, in ""The Courtyards"", Dublin. 
*This room will come with a small refrigerator, study desk and chair, twin sized futon-bed, a rocker-swivel chair, and has a good size walk in closet and a private attached master bathroom. 
*Separate entrance to the rented room, which is the top level floor with no other adjoining room, giving more privacy.
*In unit washer/dryer
*Gym, Jacuzzi, Swimming pool amenities available to the tenant.
*Close to 580/680 Freeways, shopping and 5 minutes walk to Rapid Bus stop that directly connects to Dublin BART station / San Francisco Factory Outlets, Livermore / Stoneridge Mall, Pleasanton with bus frequency of every 15 mins.
*Free parking is available off-street.
*Dublin Courtyards is a beautiful community with a gym, swimming pool, Jacuzzi, public green park (Bray Commons), basketball court, kids and dog park etc. 

Lease terms:
---------------
*Month to month lease, with minimum 3 - 6 months commitment, starting after March 15th, 2017. 
*Rent $895/month 
*Utilities (water, gas & electricity) and internet are included in the rent.
*Rent also includes professional cleaning once a month
*Security Deposit $895

About the tenant:
--------------------
*Young professional female occupant only. This is for a single occupant only.
*People with kids or pets, or couples please do not contact.
*Prefer someone using kitchen minimally or not using at all.

About the house and owners:
----------------------------------
*This house is a stunning Italian Firenze Model with 2 large bedrooms (master on the upper level, and 2nd bedroom on the 1st level) , 2 balconies, granite slab kitchen counters, fireplace, designer paint etc.
*We are working professional, married couple in our early 30s.


*No Section 8
*No Pets
*No Kids
*No Couples
*References and proof of financial capability. Background check might be done if required.",TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,FALSE
6030013133,2017-03-04 18:39,http://sfbay.craigslist.org/eby/roo/6030013133.html,ROOM 4 RENT  94533 fAIRFIELD,,fairfield / vacaville,0,38.267100,-122.035700,22,"Im offering a room for rent in the Fairfield Area
Close to everything, easy freeway access
Im looking for a good roommate, easy to get along with and respective of our terms
This is a room for one person only, there are 2 large breed dogs in the house, so u must be dog friendly
There is a bathroom with full shower vanity & toilet that would be primarily for your use
Hardwood flooring in the room with full size closet, large double pane window and nice ceiling fan

$700 per month includes all utilities, space in the fridge and some cabinet space, limited storage but have storage available offsite--------can be discussed if needed
Military preferred,",TRUE,TRUE,False,True,TRUE,True,TRUE,TRUE,FALSE
6030023070,2017-03-04 18:36,http://sfbay.craigslist.org/eby/roo/6030023070.html,Female only room for rent $980.00,,walnut creek,0,37.905300,-122.054900,22,"Furnished room for rent in Walnut Creek. Close to Bart and downtown. Female only.
Shared bath. First and last months rent. The 980.00 includes all utilities, cable and wifi.
There will be a credit check and if your credit is lower than 680 please do not inquire.
I'm over 50 and very active and work full time. I'm very easy to get along with and I have a great sense of humor. I don't mind if you like to drink just nothing crazy. I prefer someone who works full time and is a non pot and cig smoker.
You must like dogs for I have a 8lb dog who is amazing and not a barker.
We have a small cardio gym, pool and street parking,",TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6020001717,2017-03-04 18:36,http://sfbay.craigslist.org/sby/roo/6020001717.html,Share 2 Bedroom 1 bath,850,sunnyvale,0,37.370641,-122.020971,15,"$850/month

Use of kitchen, living room and bathroom included

Phone not included.

Private parking stall not included but plenty of parking on street.

Must be quite and clean.

No smoking, drinking alcohol or pets allowed.",TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
